epoch,loss,accuracy,best_accuracy,val_loss,val_accuracy,best_val_accuracy
1,0.07531508708419278,0.9754478335380554,0.9754478335380554,0.0372481606900692,0.9915492534637451,0.9915492534637451
2,0.025479779415763914,0.9929850697517395,0.9929850697517395,0.01622132398188114,0.9983903169631958,0.9983903169631958
3,0.007829141274210997,0.9984967708587646,0.9984967708587646,0.024678191170096397,0.9943661689758301,0.9983903169631958
4,0.007586003143747803,0.9979957342147827,0.9984967708587646,0.01661650836467743,0.9967806339263916,0.9983903169631958
5,0.010591504863463342,0.9982462525367737,0.9984967708587646,0.026390550658106804,0.9955734014511108,0.9983903169631958
6,0.01260587598150596,0.997244119644165,0.9984967708587646,0.019656186923384666,0.9959757924079895,0.9983903169631958
7,0.011252550401201006,0.997494637966156,0.9984967708587646,0.02863147296011448,0.993561327457428,0.9983903169631958
8,0.013196887938654981,0.997494637966156,0.9984967708587646,0.024980437010526657,0.9951710104942322,0.9983903169631958
9,0.012581009269983042,0.9973694086074829,0.9984967708587646,0.02565765753388405,0.9955734014511108,0.9983903169631958
10,0.013560224307002499,0.9971188902854919,0.9984967708587646,0.046120863407850266,0.990744411945343,0.9983903169631958
